query_id,map,recall_100,recall_1000,ndcg_cut_10,ndcg_cut_1000
d40a44b633a216fc65484a60dadd48ac,0.0,0.0,0.0,0.0,0.0
1200cc678dce697633576f9941994baa,0.00956117407730311,0.0,0.75,0.0,0.16216974151909533
e54f68f74633d43b86d0247af6197544,0.009900990099009901,0.0,1.0,0.0,0.14987054163194743
e874f77079e2943bfe8c7ab5985bba33,0.0,0.0,0.0,0.0,0.0
328e016c9773ff748f749f1fdd081b8d,0.0,0.0,0.0,0.0,0.0
ef401e491a89991d822ec491f94e3639,0.01730820636193531,1.0,1.0,0.0,0.19008847243545002
58693f8e42bc57d9db6db40b90b142de,0.0,0.0,0.0,0.0,0.0
0b155c7fdc95ddd69962e106dfaed576,0.009174311926605505,0.0,1.0,0.0,0.14746305199023912
721f5289656546b698a36571b2d86c4b,0.0167361374257926,1.0,1.0,0.0,0.1759512026103366
cc613b02ecdaf8f4e2e025008eb8680c,0.0,0.0,0.0,0.0,0.0
40a8df88721f3a9f1363c47c7d996d5e,0.00909090909090909,0.0,1.0,0.0,0.14717968691798522
dfe9c87036812c15b429bfaa041ee6c2,0.0,0.0,0.0,0.0,0.0
286b151fe9f88f9457878c2655e4f2da,0.011627906976744186,1.0,1.0,0.0,0.15520856277015513
27d5a858b54377ad38312dc515812683,0.008264462809917356,0.0,1.0,0.0,0.1442847926987864
d469026fee5ebf4230d3ec5f9501e621,0.009523809523809525,0.0,1.0,0.0,0.148634337571835
504ba8f0091eef715f16ccbb63ed5ac9,0.009259259259259259,0.0,1.0,0.0,0.1477501131786861
2eff8040c4e28557c51361ab9b8db57d,0.032682748538011695,0.6,0.6,0.10209739512291163,0.20499124357342222
30c3ebbc6708a3454d82f9a8c11796fa,0.0,0.0,0.0,0.0,0.0
2fae882aa26665d7522162f134babcdf,0.0,0.0,0.0,0.0,0.0
a64207e4bf8ec20e09918f9831197c50,0.010869565217391304,1.0,1.0,0.0,0.15292486830283214
1f50741d080a161ff0cde0b31cfd685e,0.0,0.0,0.0,0.0,0.0
